agent_type,random_seed,total_timesteps,total_distance,goal_reached,unique_locations,revisited_locations,shannon_entropy,grid_dims
ActiveInference,70,31,31,1,32,0,0.952445079351467,40x40
ActiveInference,71,200,23,0,22,179,1.5143674559345661,40x40
ActiveInference,72,36,36,1,37,0,0.9510722277908435,40x40
ActiveInference,73,38,38,1,39,0,0.9505151992105864,40x40
ActiveInference,74,13,13,1,14,0,0.9571564932320953,40x40
ActiveInference,75,3,3,1,4,0,0.9596202680795951,40x40
ActiveInference,76,51,51,1,52,0,0.9467838893223709,40x40
ActiveInference,77,31,31,1,32,0,0.952445079351467,40x40
ActiveInference,78,10,10,1,11,0,0.9579070239749632,40x40
ActiveInference,79,25,25,1,26,0,0.9540555045562089,40x40
ActiveInference,80,54,54,1,53,2,0.9479996056496771,40x40
ActiveInference,81,20,20,1,21,0,0.955366904934499,40x40
ActiveInference,82,16,16,1,17,0,0.9563961217991254,40x40
ActiveInference,83,38,38,1,39,0,0.9505151992105864,40x40
ActiveInference,84,23,23,1,24,0,0.9545833930852325,40x40
ActiveInference,85,23,23,1,24,0,0.9545833930852325,40x40
ActiveInference,86,39,39,1,39,1,0.9516682199875386,40x40
ActiveInference,87,13,13,1,14,0,0.9571564932320953,40x40
ActiveInference,88,9,9,1,10,0,0.9581550223910682,40x40
ActiveInference,89,31,31,1,32,0,0.952445079351467,40x40
ActiveInference,90,23,23,1,24,0,0.9545833930852325,40x40
ActiveInference,91,14,14,1,15,0,0.956904131841122,40x40
ActiveInference,92,10,10,1,11,0,0.9579070239749632,40x40
ActiveInference,93,13,13,1,14,0,0.9571564932320953,40x40
ActiveInference,94,54,54,1,55,0,0.9458954410908447,40x40
ActiveInference,95,3,3,1,4,0,0.9596202680795951,40x40
ActiveInference,96,14,14,1,15,0,0.956904131841122,40x40
ActiveInference,97,24,24,1,25,0,0.954320004581436,40x40
ActiveInference,98,49,49,1,50,0,0.9473704676232132,40x40
ActiveInference,99,23,23,1,24,0,0.9545833930852325,40x40
ActiveInference,100,17,17,1,18,0,0.9561404697061998,40x40
ActiveInference,101,20,20,1,21,0,0.955366904934499,40x40
ActiveInference,102,26,26,1,27,0,0.9537898914968166,40x40
ActiveInference,103,24,24,1,25,0,0.954320004581436,40x40
ActiveInference,104,8,8,1,9,0,0.9584019345981007,40x40
ActiveInference,105,200,62,0,62,139,1.2693363401958122,40x40
ActiveInference,106,26,26,1,27,0,0.9537898914968166,40x40
ActiveInference,107,34,34,1,35,0,0.9516247438874706,40x40
ActiveInference,108,12,12,1,13,0,0.9574077611992534,40x40
ActiveInference,109,20,20,1,21,0,0.955366904934499,40x40
ActiveInference,110,30,30,1,31,0,0.9527162794665713,40x40
ActiveInference,111,44,44,1,45,0,0.9488169434317286,40x40
ActiveInference,112,30,30,1,31,0,0.9527162794665713,40x40
ActiveInference,113,34,34,1,35,0,0.9516247438874706,40x40
ActiveInference,114,34,34,1,35,0,0.9516247438874706,40x40
ActiveInference,115,17,17,1,18,0,0.9561404697061998,40x40
ActiveInference,116,25,25,1,26,0,0.9540555045562089,40x40
ActiveInference,117,22,22,1,23,0,0.954845671603012,40x40
ActiveInference,118,46,46,1,47,0,0.9482417718115026,40x40
ActiveInference,119,37,37,1,38,0,0.9507942781777161,40x40
ActiveInference,120,42,42,1,43,0,0.9493875661406488,40x40
ActiveInference,121,26,26,1,27,0,0.9537898914968166,40x40
ActiveInference,122,200,86,0,82,119,1.1674961992996586,40x40
ActiveInference,123,15,15,1,16,0,0.9566506752739603,40x40
ActiveInference,124,28,28,1,29,0,0.9532553203390564,40x40
ActiveInference,125,19,19,1,20,0,0.9556258629308245,40x40
ActiveInference,126,10,10,1,11,0,0.9579070239749632,40x40
ActiveInference,127,65,65,1,60,6,0.947749167187157,40x40
ActiveInference,128,36,36,1,37,0,0.9510722277908435,40x40
ActiveInference,129,7,7,1,8,0,0.9586477624501535,40x40
ActiveInference,130,31,31,1,32,0,0.952445079351467,40x40
ActiveInference,131,14,14,1,15,0,0.956904131841122,40x40
ActiveInference,132,27,27,1,28,0,0.9535231639133812,40x40
ActiveInference,133,20,20,1,21,0,0.955366904934499,40x40
ActiveInference,134,10,10,1,11,0,0.9579070239749632,40x40
ActiveInference,135,19,19,1,20,0,0.9556258629308245,40x40
ActiveInference,136,39,39,1,40,0,0.9502349896874962,40x40
ActiveInference,137,30,30,1,31,0,0.9527162794665713,40x40
ActiveInference,138,22,22,1,23,0,0.954845671603012,40x40
ActiveInference,139,29,29,1,30,0,0.9529863593302038,40x40
ActiveInference,140,200,13,0,12,189,1.6050361193359315,40x40
ActiveInference,141,21,21,1,22,0,0.9551068416926887,40x40
ActiveInference,142,40,40,1,41,0,0.9499536484316055,40x40
ActiveInference,143,55,55,1,56,0,0.9455970002142107,40x40
ActiveInference,144,21,21,1,22,0,0.9551068416926887,40x40
ActiveInference,145,33,33,1,34,0,0.9518993128989226,40x40
ActiveInference,146,28,28,1,29,0,0.9532553203390564,40x40
ActiveInference,147,2,2,1,3,0,0.9598607026547633,40x40
ActiveInference,148,10,10,1,11,0,0.9579070239749632,40x40
ActiveInference,149,23,23,1,24,0,0.9545833930852325,40x40
ActiveInference,150,24,24,1,25,0,0.954320004581436,40x40
